Modifications in Master Proteins,Comparison 1: Group 1 Mean,Comparison 1: Group 2 Mean,Comparison 1: Group 1 v. Group 2 Log2 Fold Change,Comparison 1: Group 1 v. Group 2 P-value,Comparison 1: Group 1 v. Group 2 FDR-adj. P-value,Comparison 1: Group 1 Missing Values,Comparison 1: Group 2 Missing Values,Comparison 1: Group 1 Imputed Values,Comparison 1: Group 2 Imputed Values,Comparison 2: Group 1 Mean,Comparison 2: Group 2 Mean,Comparison 2: Group 1 v. Group 2 Log2 Fold Change,Comparison 2: Group 1 v. Group 2 P-value,Comparison 2: Group 1 v. Group 2 FDR-adj. P-value,Comparison 2: Group 1 Missing Values,Comparison 2: Group 2 Missing Values,Comparison 2: Group 1 Imputed Values,Comparison 2: Group 2 Imputed Values,Sample 126,Sample 127C,Sample 127N,Sample 128C,Sample 128N,Sample 129C,Sample 129N,Sample 130C,Sample 130N,Sample 131C,Sample 131N
Q6DFW4 1xPhospho [S509(100)],15.177965350052965,15.027081945503852,0.15088340454911275,0.7141402606697966,0.9642740717748706,0 / 6,0 / 5,"Sample ID
Sample 126     0
Sample 127C    0
Sample 128C    0
Sample 129C    0
Sample 130C    0
Sample 131C    0
dtype: int64 / 6","Sample ID
Sample 127N    0
Sample 128N    0
Sample 129N    0
Sample 130N    0
Sample 131N    0
dtype: int64 / 5",14.584859610134211,15.738808833406353,-1.1539492232721411,4.206277261639869e-06,3.345905349902564e-05,0 / 6,0 / 5,"Sample ID
Sample 126     0
Sample 127N    0
Sample 128C    0
Sample 129N    0
Sample 130C    0
Sample 131N    0
dtype: int64 / 6","Sample ID
Sample 127C    0
Sample 128N    0
Sample 129C    0
Sample 130N    0
Sample 131C    0
dtype: int64 / 5",14.95437440323174,15.812165776723482,14.777025786588304,14.414403418959166,15.898514158456612,15.66149927946921,14.532792939278243,14.528031771731737,15.624547502180016,15.697317450202442,14.302529341016088
Q99L90 1xPhospho [S81(80.6)],15.215788254831088,15.10285566238671,0.11293259244437692,0.527910236851431,0.9642740717748706,0 / 6,0 / 5,0 / 6,0 / 5,15.044746119944882,15.308106224250153,-0.2633601043052707,0.11854665783121383,0.13123901948337807,0 / 6,0 / 5,0 / 6,0 / 5,15.452801423868138,15.43358494678889,15.295140873760444,14.81889768867875,15.346845728382029,15.349303601085564,15.131148237790043,15.018670344069816,15.18932532049893,15.22147152449535,14.5518181515021
Q8BTI8 1xPhospho [S1269(100)],17.699947607454323,17.761322198437263,-0.061374590982939736,0.5834105276187121,0.9642740717748706,0 / 6,0 / 5,0 / 6,0 / 5,17.63254278635081,17.842207983761476,-0.20966519741066492,0.0352896280853543,0.041465313000291305,0 / 6,0 / 5,0 / 6,0 / 5,17.350946378406206,17.679299026159082,17.636212295333433,17.76849408105446,17.896846272206602,17.748479643739163,17.590801360856613,17.7025221189387,17.93647058027422,17.94994439642832,17.746280483515452
Q8BPN8 1xPhospho [T2017(97.1)],15.120116869151728,14.835202048966266,0.28491482018546144,0.4403628677792938,0.9642740717748706,0 / 6,0 / 5,0 / 6,0 / 5,14.580330827143891,15.482945299375668,-0.902614472231777,0.0018539461866881354,0.0038186859701903027,0 / 6,0 / 5,0 / 6,0 / 5,15.049308259031182,15.670056367391863,14.90715311911912,14.320884048799924,15.62899259176008,15.453343688396894,13.968847737724738,14.919765354913064,15.354990352952068,15.307343496377438,14.316026443275312
Q99PI4 2xPhospho [S198(100); S218(96.7)],15.083962590956759,15.03253957454304,0.05142301641371816,0.7654249574070568,0.9642740717748706,0 / 6,0 / 5,0 / 6,0 / 5,14.94177026192804,15.203170369377506,-0.2614001074494663,0.10231854135970536,0.11408362947237877,0 / 6,0 / 5,0 / 6,0 / 5,15.266094863990109,15.21022472953995,15.360390926208945,14.945055780824196,15.322132202551373,15.196444282252486,14.64102532051137,14.792068894833353,15.193163638243252,15.093886994300467,14.64598578520027
Q80YS6 1xPhospho [S680(91.2)],14.941600973063954,14.908672782667939,0.032928190396015466,0.875525304004961,0.9696621754069952,0 / 6,0 / 5,0 / 6,0 / 5,14.683895618408428,15.217919208254568,-0.5340235898461394,0.0004984209327393637,0.0014558396735946386,0 / 6,0 / 5,0 / 6,0 / 5,14.97807560250985,15.330547762362698,14.848145992632338,14.556047089835792,15.299308916139664,15.25208641528282,14.599733737807563,14.563218171376327,15.238022150471425,14.969630797016237,14.558153116288702
P53564 1xPhospho [S1332(99.8)],15.77152001448811,15.694801404406235,0.07671861008187442,0.2718085318031455,0.9642740717748706,0 / 6,0 / 5,0 / 6,0 / 5,15.79023901655969,15.672338601920336,0.11790041463935452,0.07404357516136714,0.08376483229415058,0 / 6,0 / 5,0 / 6,0 / 5,15.86845529267108,15.70314431281674,15.698604253447428,15.857836254044512,15.681567596607351,15.715452394184316,15.685063311828806,15.939892407825868,15.717189280607135,15.544339425386127,15.691582579540444
Q8BQM4 1xPhospho [T31(78.9)],15.414135483469243,15.322130473567535,0.09200500990170823,0.6190813057457409,0.9642740717748706,0 / 6,0 / 5,0 / 6,0 / 5,15.178465069070441,15.604934970846097,-0.4264699017756559,0.004290731784256408,0.00677346055713149,0 / 6,0 / 5,0 / 6,0 / 5,15.4274714140585,15.654487711496047,15.333331699088014,15.31327952005626,15.68195849040736,15.519566175600296,15.22799219093665,14.901148269621356,15.49980266674379,15.668859809982989,14.86756732066186
O08576 1xPhospho [S428(99.7)],15.664842274997609,15.464822819195291,0.20001945580231784,0.5192249274428586,0.9642740717748706,0 / 6,0 / 5,0 / 6,0 / 5,15.1852412374457,16.04034406425758,-0.8551028268118817,2.8071802196955638e-05,0.00014440917150075687,0 / 6,0 / 5,0 / 6,0 / 5,15.436357770653084,16.070640546902617,15.361736584823486,14.94620601262227,16.07660737302906,16.09102682320532,15.101227838501613,15.355342030939946,15.8739651124885,16.089480465662422,14.910577187133796
Q2WF71 1xPhospho [S637(97.1)],15.117653939096622,15.017453196395675,0.10020074270094703,0.7452521686914523,0.9642740717748706,0 / 6,0 / 5,0 / 6,0 / 5,14.723900790012811,15.489956975296252,-0.7660561852834409,0.0009571169533406624,0.0023904805066527657,0 / 6,0 / 5,0 / 6,0 / 5,15.09075399998564,15.59257171413929,15.143632879843985,14.414418124987234,15.46053108041068,15.515066641314016,14.760648439828246,14.647491510310877,15.43599379677458,15.445621643842689,14.286459785120885
P51954 1xPhospho [S953(100)],14.736198340883751,14.538143797124047,0.19805454375970477,0.5878936369576838,0.9642740717748706,0 / 6,0 / 5,0 / 6,0 / 5,14.252636620740047,15.118417861296493,-0.865781240556446,0.002809548654493111,0.00503941871528413,0 / 6,0 / 5,0 / 6,0 / 5,14.80698098438663,15.182805799011476,14.66707903631258,13.957682215363803,15.160822552443408,15.162068955589197,14.222231272634534,14.325504836484226,15.10424474497121,14.982147254467174,13.536341379258497
P70271 1xPhospho [S111(100)],18.320406672738333,18.564090897198327,-0.24368422445999371,0.6348863530024678,0.9642740717748706,0 / 6,0 / 5,0 / 6,0 / 5,19.112279558451352,17.6138434343427,1.4984361241086503,5.707530222480124e-10,1.1803172500088896e-07,0 / 6,0 / 5,0 / 6,0 / 5,18.96906223900087,17.531869661222885,19.118577837273047,19.15713780780133,17.735090293354713,17.57649422226138,19.273562161443603,19.07452707010333,17.61241395883434,17.613349036040187,19.080810235085927
Q8K2I9 1xPhospho [S172(100)],16.621551704023975,16.241181805210925,0.3803698988130506,0.25508587214410106,0.9642740717748706,0 / 6,0 / 5,0 / 6,0 / 5,16.031840802927046,16.948834886527237,-0.9169940836001906,0.00012613856165830337,0.0004997213515505198,0 / 6,0 / 5,0 / 6,0 / 5,16.210801906721592,17.2475213358759,15.782034124404486,16.141857721970517,16.762732216625455,16.99488254030509,16.15754968880817,15.926154768825752,16.530946389384752,17.208091950444995,15.972646606831765
Q3UHR0 1xPhospho [S1149(100)],14.541666722242473,14.352215170689723,0.18945155155275017,0.634670496741631,0.9642740717748706,0 / 6,0 / 5,0 / 6,0 / 5,14.009398244735225,14.990937343698416,-0.9815390989631911,0.0012757240111704636,0.0029378588586865466,0 / 6,0 / 5,0 / 6,0 / 5,14.636600495106816,15.120628888836023,14.401804455437157,13.784285058860323,15.02106848603336,15.017115933858724,14.037635243356972,13.855774662674506,14.960278115645549,14.835595294118429,13.340289552975582
Q91Z67 1xPhospho [S487(100)],15.571552924933878,15.66981712832266,-0.09826420338878172,0.6064096731956024,0.9642740717748706,0 / 6,0 / 5,"Sample ID
Sample 126     0
Sample 127C    0
Sample 128C    0
Sample 129C    0
Sample 130C    0
Sample 131C    0
dtype: int64 / 6","Sample ID
Sample 127N    0
Sample 128N    0
Sample 129N    0
Sample 130N    0
Sample 131N    0
dtype: int64 / 5",15.848405442638835,15.337594107076715,0.5108113355621207,9.787525288786704e-05,0.00040972879144151626,0 / 6,0 / 5,"Sample ID
Sample 126     0
Sample 127N    0
Sample 128C    0
Sample 129N    0
Sample 130C    0
Sample 131N    0
dtype: int64 / 6","Sample ID
Sample 127C    0
Sample 128N    0
Sample 129C    0
Sample 130N    0
Sample 131C    0
dtype: int64 / 5",15.850771977080896,15.359577981989684,15.768041288814771,15.584450427949092,15.410141680278272,15.39090873894501,16.018663423688185,15.992492525447462,15.276226235979465,15.251115898191136,15.876013012852605
P70271 1xPhospho [S111(98.3)],16.735747814117577,16.773493876503874,-0.0377460623862973,0.8540583535729306,0.9696621754069952,0 / 6,0 / 5,0 / 6,0 / 5,17.017043633474128,16.435938893276017,0.5811047401981106,8.465687586927734e-07,1.0551315714524596e-05,0 / 6,0 / 5,0 / 6,0 / 5,16.955278219766495,16.463455152289445,17.14403880889789,16.945676782541163,16.366902676717345,16.569573650914844,17.02192897957565,17.068718563642687,16.367978470907616,16.41178451555084,16.96662044642087
Q6PAJ3 1xPhospho [S371(100)],16.99645203145413,16.907993925583362,0.08845810587076741,0.48228440441734144,0.9642740717748706,0 / 6,0 / 5,0 / 6,0 / 5,16.808116865159892,17.13399612513644,-0.3258792599765492,0.00043146159667784196,0.0013070377136085176,0 / 6,0 / 5,0 / 6,0 / 5,16.79475096346818,17.062028554518406,16.8843033283465,16.952030103717714,17.008566390070758,17.168463061894176,16.78804309488793,16.71743567820604,17.146918792278623,17.28400382692026,16.712138022333
Q61315 1xPhospho [S1098(100)],15.697065266804978,15.55778412182558,0.1392811449793978,0.5546880302883841,0.9642740717748706,0 / 6,0 / 5,0 / 6,0 / 5,15.336375220955992,15.990612176844365,-0.6542369558883738,1.556947542930954e-05,8.993764018941936e-05,0 / 6,0 / 5,0 / 6,0 / 5,15.553046171033293,16.013972976538284,15.471935434214936,15.36216907021382,15.965893894159564,16.067247741411943,15.307162463627009,15.241628478120829,15.961619108600337,15.944327163511709,15.082309708526054
Q8K4L0 1xPhospho [S74(93.1)],15.922338695540288,15.910189595055778,0.012149100484510456,0.9526125596842459,0.9948798041437632,0 / 6,0 / 5,0 / 6,0 / 5,15.741493515421666,16.12720381119812,-0.3857102957764553,0.03159522940350428,0.03733653394654106,0 / 6,0 / 5,0 / 6,0 / 5,15.461664743306406,16.18630565469405,15.621505266302576,15.5622684362489,16.198655993832137,16.323150242672547,15.849296794342292,16.23804007508121,16.165304143553254,15.76260302123862,15.716185777248624
Q7TT79 1xPhospho [S260(92.9)],14.682414420440416,14.29166095976646,0.390753460673956,0.353214938450392,0.9642740717748706,0 / 6,0 / 5,0 / 6,0 / 5,14.144578890260648,14.937063595982181,-0.7924847057215327,0.038105522115517515,0.04457139125276596,0 / 6,0 / 5,0 / 6,0 / 5,15.053237912787504,14.858273564271428,14.59059984738899,14.043078205067074,15.017095377412527,15.244292563840869,14.05263480556158,14.170587120602402,14.840639318312864,14.725017156073225,12.957335450156334
P59808 1xPhospho [S115(90.6)],14.246910447683298,13.751914914066347,0.4949955336169509,0.48288311903039594,0.9642740717748706,0 / 6,0 / 5,0 / 6,0 / 5,13.286610431662824,14.90427493329091,-1.6176645016280862,0.005128275857253833,0.007777624157055444,0 / 6,0 / 5,0 / 6,0 / 5,14.417286613702917,15.005986807547432,13.995017106934778,13.071550520558194,14.964926897597914,14.797441811050614,13.293597319362446,13.357817774080855,14.92163999109883,14.831379159159765,11.584393255337762
Q99N57 1xPhospho [S642(90.7)],15.074680941269607,14.66245519789932,0.4122257433702874,0.1701447950868174,0.9642740717748706,0 / 6,0 / 5,0 / 6,0 / 5,14.628307373394952,15.198103479348905,-0.5697961059539534,0.04394784569660425,0.05117350501158648,0 / 6,0 / 5,0 / 6,0 / 5,15.07660670557109,15.336834057810911,14.909786830203938,14.539422315749684,15.208251512544942,15.36717990025897,14.568247765169074,15.001160955405386,14.951370213308095,15.12688171282161,13.674619668270545
Q8BGW1 1xPhospho [S253(86.4)],14.355056894697542,14.014029122781091,0.3410277719164512,0.5205351941285832,0.9642740717748706,0 / 6,0 / 5,0 / 6,0 / 5,13.641987296956339,14.869712640070532,-1.2277253431141926,0.004363844260683343,0.006857469552502397,0 / 6,0 / 5,0 / 6,0 / 5,14.56930160757103,14.928099762465385,14.245936952337605,13.30562166056483,14.99451986989764,14.9242096685699,13.459435716585755,13.707045503471996,14.805670733877628,14.696063165542114,12.564582341206826
Q91ZM2 1xPhospho [S420(83.2)],16.187131493864317,16.11975588933118,0.06737560453313662,0.4691368994849243,0.9642740717748706,0 / 6,0 / 5,0 / 6,0 / 5,16.05500447309232,16.27830831425758,-0.22330384116525792,0.0025300582408512525,0.004705180253669416,0 / 6,0 / 5,0 / 6,0 / 5,16.20463389316917,16.335555633749564,16.140786111530076,15.994358160120294,16.24289094116928,16.31205067153998,16.0870835514193,16.01572793598528,16.240581656207468,16.260462668621614,15.887437186329787
Q3U6K5 1xPhospho [S437(100)],15.248247669653681,15.438560697243512,-0.1903130275898306,0.3168595348214448,0.9642740717748706,0 / 6,0 / 5,0 / 6,0 / 5,15.54012545921559,15.088307349769224,0.451818109446366,0.003756401073735831,0.006087960360882209,0 / 6,0 / 5,0 / 6,0 / 5,15.551484147148363,15.33081512127471,15.705687165316968,15.351699038847585,15.167226884439875,15.065870669101717,15.632128997068312,15.228229572086835,14.916236604566924,14.96138746946288,15.771523834825471
Q8CAF4 1xPhospho [S730(100)],15.501420312673538,15.418718670425779,0.08270164224775911,0.2257939149151281,0.9642740717748706,0 / 6,0 / 5,0 / 6,0 / 5,15.44388511576535,15.487760906715604,-0.04387579095025451,0.5334455353723738,0.5560309310232203,0 / 6,0 / 5,0 / 6,0 / 5,15.570135292277604,15.653774008118148,15.518220542907136,15.33311513453645,15.408900612079483,15.58010736019128,15.460599857009708,15.475969128357352,15.400601600628704,15.395420952560402,15.305270739503856
Q9R069 1xPhospho [S615(100)],15.641966597198689,15.405871329534452,0.23609526766423627,0.5168168207675042,0.9642740717748706,0 / 6,0 / 5,0 / 6,0 / 5,15.08716928639604,16.07162810249763,-0.9844588161015899,7.898614935422463e-05,0.0003402986601344511,0 / 6,0 / 5,0 / 6,0 / 5,15.48156121564641,16.11976739497644,15.396602261198812,14.973901810435436,16.05350991420262,16.11344901696246,14.980188115243273,15.080381527073182,15.988675568248423,16.0827386180982,14.610380788779125
Q8BGT8 1xPhospho [S24(100)],16.072157117676145,15.878466046435886,0.1936910712402593,0.7545337692912785,0.9642740717748706,0 / 6,0 / 5,0 / 6,0 / 5,15.170018344500479,16.961032574246687,-1.7910142297462084,1.3350221074944218e-08,7.25423336602826e-07,0 / 6,0 / 5,0 / 6,0 / 5,15.420724735922107,17.04101478320342,15.255458647863938,15.0238527097386,16.980533771543893,16.878844965393263,15.277240747069412,15.174842248063175,17.01110608735654,16.893663263736318,14.867990978345643
A2AJI0 1xPhospho [S368(100)],16.90101584302796,17.092529091534633,-0.1915132485066735,0.5134802646930023,0.9642740717748706,0 / 6,0 / 5,0 / 6,0 / 5,17.373785433364052,16.525205583131328,0.8485798502327242,1.3461834894207138e-07,3.2371016931651583e-06,0 / 6,0 / 5,0 / 6,0 / 5,17.249364592072727,16.45661894269359,17.350195354323677,17.35979894146068,16.639709738366008,16.56498860778235,17.36474888599125,17.382106445986402,16.571493098642673,16.393217528171995,17.53649838034956
G3X9J0 1xPhospho [S166(82.1)],16.44030621641318,16.489102455194917,-0.04879623878173689,0.42977033937378106,0.9642740717748706,0 / 6,0 / 5,0 / 6,0 / 5,16.524117136345016,16.388529351276716,0.13558778506829938,0.009484623894618403,0.012853343521671598,0 / 6,0 / 5,0 / 6,0 / 5,16.406172659839715,16.288770030966997,16.4994085532954,16.518173190431167,16.379707840858764,16.435185936057763,16.53522774227819,16.554908396749838,16.40035586406646,16.4386270844336,16.63081227547578
Q6DFV3 1xPhospho [S1656(99.5)],16.40875066086469,16.248033990804252,0.1607166700604381,0.07494223322414255,0.9642740717748706,0 / 6,0 / 5,0 / 6,0 / 5,16.333433772823795,16.33841425645333,-0.004980483629534405,0.9598106388586574,0.9616707369959804,0 / 6,0 / 5,0 / 6,0 / 5,16.463834976883525,16.564408223673222,16.246681628606638,16.26813162290498,16.092771667849455,16.3685914557373,16.356855333012945,16.525983446871813,16.404745695889375,16.261554239117302,16.139115628662868
Q9QY06 1xPhospho [S2098(100)],14.250951250334479,13.753982155095818,0.4969690952386614,0.4705276350376336,0.9642740717748706,0 / 6,0 / 5,0 / 6,0 / 5,13.352738903756977,14.831836970988821,-1.4790980672318437,0.011621410398108578,0.015307692167699706,0 / 6,0 / 5,0 / 6,0 / 5,14.501965339015683,14.923626926024914,14.105935308470482,13.215635132551128,14.981552426799592,14.77739590358742,13.353835785444447,13.433401843503145,14.822927241207598,14.65368235732458,11.505660013556971
Q8CAF4 1xPhospho [S713(82.1)],14.411455421446453,14.210040331559046,0.20141508988740675,0.684563293959412,0.9642740717748706,0 / 6,0 / 5,0 / 6,0 / 5,13.781824233506702,14.965597757086744,-1.183773523580042,0.0022796081557449224,0.0044058221178322424,0 / 6,0 / 5,0 / 6,0 / 5,14.534428986706512,15.021786599390696,14.270767340379784,13.38337765874967,15.094728132790337,14.939899518432751,13.863950399777606,13.812421044801397,14.994755814222248,14.776818720597692,12.825999970625244
Q99PP2 1xPhospho [S41(92.2)],16.606125300975247,16.537713810841804,0.0684114901334425,0.48187000687299264,0.9642740717748706,0 / 6,0 / 5,0 / 6,0 / 5,16.453877446099458,16.720411236692748,-0.2665337905932894,4.4348618426684465e-05,0.00021136965096048323,0 / 6,0 / 5,0 / 6,0 / 5,16.512704491935924,16.684746103298167,16.446211604754875,16.391069402226368,16.626143111002353,16.81225109190046,16.48819322456808,16.45116444955021,16.694099610322404,16.784816266940357,16.433921503561304
Q9CZL2 1xPhospho [S14(100)],14.046297098540094,13.437414555561924,0.6088825429781703,0.44956087102998643,0.9642740717748706,0 / 6,0 / 5,0 / 6,0 / 5,13.010676153842345,14.680159689199225,-1.6694835353568802,0.01677249693740602,0.020970691454991322,0 / 6,0 / 5,0 / 6,0 / 5,14.348091094227613,14.801150453630251,13.997807527133094,12.770199390692772,14.843798083940047,14.602322836656535,12.945743848673624,13.232739677765094,14.630247933500986,14.52327913826831,10.76947538456188
Q9D2V5 1xPhospho [S365(80.4)],14.788736193799222,14.494397190187215,0.2943390036120075,0.5172865694882053,0.9642740717748706,0 / 6,0 / 5,0 / 6,0 / 5,14.15967318031869,15.249272806363852,-1.0895996260451621,0.0024319756356779515,0.00458274294486672,0 / 6,0 / 5,0 / 6,0 / 5,14.760461173340584,15.398850230849291,14.810393106855932,13.968452867540137,15.138497176717417,15.295470478593174,14.109851411351393,14.040736984638436,15.145100717825676,15.268445427833692,13.26814353818566
P19096 1xPhospho [S207(99.2)],15.920582488526625,15.964019282867719,-0.04343679434109404,0.6816087435490261,0.9642740717748706,0 / 6,0 / 5,0 / 6,0 / 5,16.06326982217196,15.792794482493315,0.27047533967864545,0.0004793838484377041,0.0014122019922637777,0 / 6,0 / 5,0 / 6,0 / 5,16.205513206554127,15.772625444549185,16.130492822984213,15.995530634341405,15.821034361788792,15.677611931029812,16.076640754164988,16.00360054119007,15.824087501603636,15.868613173495156,15.967840973796962
